TacXPD-K169E,,
Time (min),Intensity (a.u.),
0.004166667,82.17240906,1
0.0125,80.13594818,0.975217218
0.020833334,79.10401154,0.962659029
0.029166667,76.76026917,0.934136775
0.037500001,75.50878143,0.918906751
0.045833334,76.19062042,0.927204414
0.054166667,78.16526031,0.951234863
0.0625,74.94541168,0.912050803
0.070833333,76.53837585,0.931436436
0.079166666,79.56616211,0.968283187
0.087499999,75.54696655,0.919371446
0.095833331,77.64013672,0.944844354
0.104166664,76.19760895,0.927289462
0.112499997,71.7082901,0.872656539
0.12083333,74.4357605,0.905848585
0.129166663,76.86450958,0.935405332
0.137500003,76.73957062,0.933884883
0.145833328,75.0816803,0.913709129
0.154166669,75.75064087,0.921850068
0.162499994,71.32794189,0.868027878
0.170833334,79.70191193,0.969935199
0.17916666,75.35365295,0.91701891
0.1875,75.15187836,0.914563407
0.19583334,76.28291321,0.928327575
0.204166666,75.19957733,0.915143881
0.212500006,78.39444733,0.954023963
0.220833331,77.50556183,0.94320664
0.229166672,74.87409973,0.91118297
0.237499997,71.32424164,0.867982848
0.245833337,72.21096039,0.878773803
0.254166663,71.48886108,0.86998619
0.262499988,78.02024841,0.949470136
0.270833343,77.87703705,0.94772732
0.279166669,72.23887634,0.879113527
0.287499994,69.08475494,0.840729336
0.295833319,76.23999023,0.927805222
0.304166675,75.24131775,0.915651842
0.3125,75.43257904,0.917979403
0.320833325,74.17398834,0.90266294
0.329166681,71.0670929,0.864853467
0.337500006,75.33864594,0.916836281
0.345833331,73.82523346,0.898418755
0.354166657,73.33010101,0.892393224
0.362500012,68.77237701,0.836927842
0.370833337,73.3985672,0.893226425
0.379166663,73.40660095,0.893324192
0.387499988,73.52110291,0.894717628
0.395833343,71.45957184,0.869629754
0.404166669,74.05773163,0.90124815
0.412499994,71.64156342,0.871844506
0.420833319,72.66376495,0.884284224
0.429166675,69.10591888,0.840986892
0.4375,74.76725769,0.909882752
0.445833325,74.50291443,0.906665817
0.454166681,75.07154846,0.913585829
0.462500006,73.75251007,0.897533745
0.470833331,72.41793823,0.881292627
0.479166657,71.31077576,0.867818974
0.487500012,72.93533325,0.887589084
0.495833337,72.58855438,0.883368946
0.504166663,71.44903564,0.869501533
0.512499988,72.59007263,0.883387422
0.520833314,74.89246368,0.911406451
0.529166639,74.20603943,0.903052987
0.537500024,74.48206329,0.906412069
0.545833349,74.32411957,0.904489967
0.554166675,73.25362396,0.891462533
0.5625,76.23234558,0.92771219
0.570833325,71.43693542,0.869354279
0.579166651,73.42582703,0.893558165
0.587499976,72.11763,0.877638015
0.595833361,76.29773712,0.928507975
0.604166687,71.50757599,0.870213942
0.612500012,72.04261017,0.876725059
0.620833337,73.87541199,0.899029405
0.629166663,68.5610199,0.834355725
0.637499988,74.51317596,0.906790695
0.645833314,75.92799377,0.92400837
0.654166639,78.94271851,0.960696168
0.662500024,72.32285309,0.880135485
0.670833349,75.30908966,0.916476595
0.679166675,75.98220062,0.924668042
0.6875,73.55813599,0.895168303
0.695833325,72.43770599,0.881533191
0.704166651,71.28649902,0.867523538
0.712499976,75.45296478,0.918227488
0.720833361,73.14809418,0.890178285
0.729166687,71.23799133,0.866933222
0.737500012,75.07835388,0.913668648
0.745833337,74.62033081,0.90809472
0.754166663,71.66863251,0.872173925
0.762499988,72.21524048,0.878825889
0.770833314,72.74526978,0.8852761
0.779166639,70.88110352,0.862590063
0.787500024,76.06226349,0.92564237
0.795833349,72.18592834,0.878469174
0.804166675,69.23610687,0.842571219
0.8125,73.95174408,0.899958331
0.820833325,74.2347641,0.903402553
0.829166651,76.3221283,0.928804804
0.837499976,72.70259857,0.884756811
0.845833361,71.8995285,0.874983821
0.854166687,74.00011444,0.900546975
0.862500012,75.02884674,0.913066169
0.870833337,75.31330109,0.916527846
0.879166663,74.51856995,0.906856338
0.887499988,72.51587677,0.882484493
0.895833314,72.38498688,0.880891624
0.904166639,73.99629974,0.900500552
0.912500024,75.15382385,0.914587082
0.920833349,74.68662262,0.908901461
0.929166675,76.21486664,0.92749948
0.9375,71.7506485,0.873172021
0.945833325,74.49060059,0.906515964
0.954166651,71.47839355,0.869858805
0.962499976,69.98239136,0.851653154
0.970833361,76.53398895,0.93138305
0.979166687,74.91318512,0.911658621
0.987500012,73.63341522,0.896084416
0.995833337,67.75792694,0.824582457
1.004166722,74.78956604,0.910154234
1.012500048,73.37924194,0.892991246
1.020833373,72.32633209,0.880177823
1.029166698,72.59012604,0.883388072
1.037500024,71.1524353,0.865892045
1.045833349,74.31845856,0.904421075
1.054166675,74.51246643,0.906782061
1.0625,72.78707123,0.885784804
1.070833325,73.00289917,0.888411329
1.079166651,75.72205353,0.921502173
1.087499976,76.20140076,0.927335606
1.095833302,70.85171509,0.86223242
1.104166627,77.21486664,0.939669014
1.112499952,68.557724,0.834315615
1.120833278,75.14025879,0.914422002
1.129166722,75.37426758,0.91726978
1.137500048,71.8234024,0.874057402
1.145833373,78.85420227,0.959618967
1.154166698,71.77571106,0.873477021
1.162500024,71.36899567,0.868527484
1.170833349,68.26403809,0.830741594
1.179166675,77.59307861,0.944271678
1.1875,71.41047668,0.869032288
1.195833325,69.58141327,0.846773437
1.204166651,71.45154572,0.869532079
1.212499976,74.21233368,0.903129585
1.220833302,73.76129913,0.897640704
1.229166627,76.06920624,0.92572686
1.237499952,73.72388458,0.897185386
1.245833278,72.10076904,0.877432825
1.254166722,76.26898193,0.928158038
1.262500048,76.79256439,0.934529793
1.270833373,75.18223572,0.914932842
1.279166698,77.44428253,0.942460899
1.287500024,73.05132294,0.889000624
1.295833349,76.93062592,0.936209937
1.304166675,78.06978607,0.950072986
1.3125,73.68881226,0.896758573
1.320833325,71.92608643,0.875307019
1.329166651,74.85839081,0.9109918
1.337499976,76.14577484,0.926658665
1.345833302,79.9906311,0.973448777
1.354166627,76.9693222,0.936680853
1.362499952,79.379776,0.966014955
1.370833278,73.46192932,0.893997513
1.379166722,73.60488129,0.895737172
1.387500048,77.7985611,0.946772305
1.395833373,73.90221405,0.899355573
1.404166698,74.30517578,0.90425943
1.412500024,78.29803467,0.952850666
1.420833349,72.84002686,0.886429249
1.429166675,75.24489594,0.915695387
1.4375,76.29692078,0.92849804
1.445833325,77.68119049,0.945343959
1.454166651,74.00585175,0.900616796
1.462499976,73.55101776,0.895081678
1.470833302,79.82527924,0.971436522
1.479166627,77.3550415,0.941374877
1.487499952,78.15512085,0.951111471
1.495833278,75.64334869,0.920544372
1.504166722,75.51263428,0.918953638
1.512500048,74.31156921,0.904337235
1.520833373,72.71970367,0.884964972
1.529166698,72.63704681,0.883959076
1.537500024,74.00320435,0.900584578
1.545833349,78.87722015,0.959899084
1.554166675,73.93680573,0.899776538
1.5625,73.07823944,0.889328185
1.570833325,75.61328888,0.920178558
1.579166651,75.17631531,0.914860793
1.587499976,77.36772919,0.941529281
1.595833302,75.80516052,0.922513547
1.604166627,76.93790436,0.936298512
1.612499952,76.76878357,0.934240391
1.620833278,73.98726654,0.900390622
1.629166722,80.37497711,0.978126089
1.637500048,75.94078064,0.92416398
1.645833373,77.11671448,0.938474548
1.654166698,79.25069427,0.96444409
1.662500024,76.26935577,0.928162587
1.670833349,74.92874146,0.911847934
1.679166675,75.52431488,0.919095786
1.6875,80.86071777,0.984037327
1.695833325,75.19035339,0.91503163
1.704166651,78.37902069,0.953836228
1.712499976,80.18063354,0.975761018
1.720833302,78.26776123,0.952482252
1.729166627,79.52928162,0.967834368
1.737499952,76.8377533,0.935079721
1.745833278,74.16164398,0.902512715
1.754166722,76.96478271,0.936625609
