Time,Intensity
,
0.000833333,72.76740265
,
0.0025,72.32032013
,
0.004166667,72.03139496
,
0.005833333,64.54576874
,
0.0075,65.86418915
,
0.009166667,66.45623779
,
0.010833334,67.18733978
,
0.0125,69.00556946
,
0.014166667,60.64520264
,
0.015833333,59.15289688
,
0.017500002,69.24517059
,
0.019166667,58.3072319
,
0.020833334,68.45605469
,
0.022500001,69.24692535
,
0.024166668,65.55075836
,
0.025833335,68.64489746
,
0.0275,61.99246597
,
0.029166667,66.55963135
,
0.030833334,62.70885468
,
0.032500003,68.25061798
,
0.034166668,71.79394531
,
0.035833336,74.325737
,
0.037500001,68.41456604
,
0.03916667,62.50888062
,
0.040833335,68.491745
,
0.0425,63.68985748
,
0.044166669,71.58045959
,
0.045833334,64.75694275
,
0.047500003,70.57174683
,
0.049166668,67.11023712
,
0.050833333,65.4595108
,
0.052500002,68.11145782
,
0.054166667,67.41494751
,
0.055833336,63.82160568
,
0.057500001,61.20495224
,
0.059166666,62.44080353
,
0.060833335,71.97660065
,
0.0625,71.36250305
,
0.064166673,68.08644104
,
0.065833338,72.19566345
,
0.067500003,73.78820038
,
0.069166668,65.51475525
,
0.070833333,67.62295532
,
0.072499998,69.96707153
,
0.07416667,73.29498291
,
0.075833336,60.02468491
,
0.077500001,67.75611115
,
0.079166666,66.53134155
,
0.080833331,69.80257416
,
0.082500003,70.09810638
,
0.084166668,70.70361328
,
0.085833333,69.49957275
,
0.087499999,72.34072113
,
0.089166664,68.47558594
,
0.090833336,70.18718719
,
0.092500001,62.97661972
,
0.094166666,70.89031982
,
0.095833331,67.82553864
,
0.097499996,67.73220062
,
0.099166669,71.70772552
,
0.100833334,70.90558624
,
0.102499999,70.34593964
,
0.104166664,63.95872116
,
0.105833329,68.63930511
,
0.107500002,64.06781006
,
0.109166667,70.20866394
,
0.110833332,63.77489853
,
0.112499997,64.52289581
,
0.114166662,61.22449112
,
0.115833335,62.60789871
,
0.1175,65.5386734
,
0.119166665,68.73147583
,
0.12083333,81.49841309
,
0.122499995,67.27117157
,
0.124166675,61.87597275
,
0.125833333,64.0721283
,
0.127499998,66.7467804
,
0.129166663,74.22154236
,
0.130833328,64.82085419
,
0.132500008,67.57265472
,
0.134166673,60.32003784
,
0.135833338,66.00151062
,
0.137500003,64.65042114
,
0.139166668,61.90094376
,
0.140833333,65.94804382
,
0.142499998,65.36598206
,
0.144166678,70.85176849
,
0.145833328,68.5293808
,
0.147500008,61.52589798
,
0.149166659,68.8224411
,
0.150833339,68.86029816
,
0.152500004,74.87410736
,
0.154166669,68.75374603
,
0.155833334,69.26173401
,
0.157499999,67.7220459
,
0.159166664,73.110672
,
0.160833344,63.14925003
,
0.162499994,72.17580414
,
0.164166674,66.50229645
,
0.165833324,70.3878479
,
0.167500004,66.53019714
,
0.169166669,69.344841
,
0.170833334,61.19367218
,
0.172499999,73.28029633
,
0.174166665,67.9254303
,
0.17583333,67.07211304
,
0.17750001,67.95240784
,
0.17916666,67.95478821
,
0.18083334,70.45589447
,
0.18249999,73.3504715
,
0.18416667,70.19687653
