Time,Intensity
0.334166676,22.43658447
,
0.335833341,22.44319153
,
0.337500006,19.74266434
,
0.339166671,22.30136299
,
0.340833336,18.63818741
,
0.342500031,17.55361557
,
0.344166666,21.44698334
,
0.345833331,25.37012291
,
0.347499996,15.11760044
,
0.349166691,24.0939045
,
0.350833356,19.38649368
,
0.352499992,21.47010994
,
0.354166657,20.34942818
,
0.355833352,20.02379608
,
0.357500017,18.81970978
,
0.359166682,20.44003296
,
0.360833317,16.79066277
,
0.362500012,24.1016655
,
0.364166677,21.24373627
,
0.365833342,21.49191093
,
0.367500007,22.02050781
,
0.369166672,21.69072914
,
0.370833337,23.43274498
,
0.372500002,20.20725441
,
0.374166668,18.63663864
,
0.375833362,19.4627285
,
0.377499998,19.74440575
,
0.379166663,21.62071228
,
0.380833328,22.32555008
,
0.382500023,20.63704109
,
0.384166688,19.66166878
,
0.385833323,22.12528419
,
0.387499988,19.540308
,
0.389166683,22.38960075
,
0.390833348,22.31402206
,
0.392500013,22.59925842
,
0.394166648,23.23660088
,
0.395833343,22.28980064
,
0.397500008,19.21020889
,
0.399166673,19.5242672
,
0.400833339,21.13074303
,
0.402500004,19.21510124
,
0.404166669,20.15760803
,
0.405833334,21.2476635
,
0.407499999,20.09315681
,
0.409166694,19.33852577
,
0.410833329,26.394701
,
0.412499994,19.1422348
,
0.414166659,18.29139328
,
0.415833354,22.31686592
,
0.417500019,19.73506355
,
0.419166654,21.45031357
,
0.420833319,22.14762688
,
0.422500014,20.50089073
,
0.424166679,19.61972046
,
0.425833345,19.48008347
,
0.42749998,16.39844131
,
0.429166675,24.5734024
,
0.43083334,25.09490395
,
0.432500005,23.18107224
,
0.4341667,25.12277412
,
0.435833335,19.63364029
,
0.4375,21.16864395
,
0.439166665,20.1496048
,
0.44083336,20.71253777
,
0.442500025,20.26629829
,
0.44416666,18.46143341
,
0.445833325,21.9703064
,
0.44750002,22.39448738
,
0.449166685,25.31688881
,
0.45083335,24.06461716
,
0.452499986,17.02707291
,
0.454166681,17.56910515
,
0.455833346,22.51432419
,
0.457500011,20.58873558
,
0.459166676,22.31567574
,
0.460833341,17.42934036
,
0.462500006,23.28394318
,
0.464166671,22.8986702
,
0.465833336,23.42596054
,
0.467500031,24.16057968
,
0.469166666,21.08637047
,
0.470833331,21.62777519
,
0.472499996,17.37282372
,
0.474166691,21.67193222
,
0.475833356,22.77749443
,
0.477499992,17.5338974
,
0.479166657,21.21730804
,
0.480833352,23.50764084
,
0.482500017,18.33996391
,
0.484166682,19.59556007
,
0.485833317,25.84067154
,
