Time,Intensity
0.334166676,59.62059784
,
0.335833341,55.813797
,
0.337500006,50.21169662
,
0.339166671,49.03643036
,
0.340833336,50.62785339
,
0.342500031,45.59240341
,
0.344166666,55.8563385
,
0.345833331,51.9536705
,
0.347499996,52.58702469
,
0.349166691,50.31720734
,
0.350833356,56.57507324
,
0.352499992,56.53710175
,
0.354166657,48.82980728
,
0.355833352,53.99440002
,
0.357500017,55.40390396
,
0.359166682,52.6756134
,
0.360833317,49.41176605
,
0.362500012,57.03726196
,
0.364166677,54.76190567
,
0.365833342,58.80427933
,
0.367500007,48.75065994
,
0.369166672,53.83974838
,
0.370833337,57.85586929
,
0.372500002,56.73781967
,
0.374166668,50.87387466
,
0.375833362,55.93424225
,
0.377499998,52.98464203
,
0.379166663,55.10163879
,
0.380833328,49.78391266
,
0.382500023,51.63879776
,
0.384166688,53.67806625
,
0.385833323,47.48379517
,
0.387499988,55.33285141
,
0.389166683,52.92123795
,
0.390833348,49.76396561
,
0.392500013,45.71075058
,
0.394166648,55.28150558
,
0.395833343,53.77975464
,
0.397500008,54.52501297
,
0.399166673,52.37008286
,
0.400833339,54.27974701
,
0.402500004,48.45547867
,
0.404166669,50.15998077
,
0.405833334,58.31430435
,
0.407499999,54.31792068
,
0.409166694,53.28397751
,
0.410833329,56.34727859
,
0.412499994,51.66892242
,
0.414166659,56.39380646
,
0.415833354,52.84741211
,
0.417500019,47.01134872
,
0.419166654,51.04423523
,
0.420833319,48.93006516
,
0.422500014,51.63934326
,
0.424166679,54.31052017
,
0.425833345,52.46120453
,
0.42749998,52.49013138
,
0.429166675,60.04970932
,
0.43083334,53.44975662
,
0.432500005,49.36828232
,
0.4341667,57.99263763
,
0.435833335,56.66337585
,
0.4375,52.17712784
,
0.439166665,57.04854965
,
0.44083336,55.96876907
,
0.442500025,54.22626495
,
0.44416666,59.07089615
,
0.445833325,63.28038025
,
0.44750002,48.49634933
,
0.449166685,50.92301941
,
0.45083335,49.36268234
,
0.452499986,57.46894455
,
0.454166681,48.180336
,
0.455833346,52.22996902
,
0.457500011,53.6493454
,
0.459166676,54.11724854
,
0.460833341,56.76464844
,
0.462500006,61.7787056
,
0.464166671,49.53725433
,
0.465833336,51.20352936
,
0.467500031,51.45062637
,
0.469166666,56.59882736
,
0.470833331,51.65736771
,
0.472499996,54.78856659
,
0.474166691,50.89979172
,
0.475833356,55.1983757
,
0.477499992,50.16115952
,
0.479166657,62.04343033
,
0.480833352,52.70220184
,
0.482500017,55.1742363
,
0.484166682,57.23081207
,
0.485833317,55.96305466
,
0.487500012,54.64333725
,
0.489166677,49.34332275
,
0.490833342,51.47642899
,
0.492500007,51.86428452
,
0.494166672,52.58443069
,
0.495833337,55.28782654
,
0.497500002,51.85062027
,
0.499166668,48.71384811
,
0.500833333,59.938694
,
0.502499998,62.19290924
,
0.504166663,50.79323196
,
0.505833328,55.63338089
,
0.507499993,55.38982773
,
0.509166658,50.52972031
,
0.510833323,51.59615326
,
0.512499988,52.83803177
,
0.514166653,52.24027252
,
0.515833318,64.27104187
,
0.517500043,55.4021225
,
0.519166648,57.0722847
,
0.520833314,53.5343399
,
0.522499979,50.79835129
,
0.524166703,48.73066711
,
0.525833368,54.13180923
,
0.527499974,55.41822815
,
0.529166639,45.20547867
,
0.530833364,52.3745842
,
0.532500029,48.20705032
,
0.534166634,59.36446381
,
0.535833359,52.80669403
,
0.537500024,54.64372635
,
0.539166689,51.87740707
,
0.540833354,57.24484253
,
0.54249996,48.12479401
,
0.544166684,47.44942856
,
0.545833349,61.15582657
,
0.547500014,51.37901688
,
0.549166679,54.81525421
,
0.550833345,51.48216248
,
0.55250001,53.01356125
,
0.554166675,56.57813644
,
0.555833399,54.91953278
,
0.557500005,51.62612534
,
0.55916667,54.02031326
,
0.560833335,58.28028488
,
0.5625,55.72172546
,
0.564166725,54.2750206
,
0.56583333,56.26657867
,
0.567499995,48.28403854
,
0.56916672,59.91358948
,
0.570833325,49.25993729
,
0.57250005,50.22985458
,
0.574166656,53.42881775
,
0.575833321,46.44105911
,
0.577500045,53.43887711
,
0.579166651,52.96678925
,
0.580833376,53.93571472
,
0.582500041,52.0043335
,
0.584166646,53.22341156
,
0.585833371,56.75666809
,
0.587499976,60.088871
,
0.589166701,47.59333038
,
0.590833366,53.05487061
,
0.592499971,53.43562698
,
0.594166696,46.21736526
,
0.595833361,55.8417244
,
0.597500026,48.08389664
,
0.599166691,46.52249527
,
0.600833297,54.15893173
,
0.602500022,54.58989716
,
0.604166687,56.65261841
,
0.605833352,48.4621315
,
0.607500017,54.64517593
,
0.609166682,54.68645859
,
0.610833347,53.36656952
,
0.612500012,51.38031769
,
0.614166677,53.25601578
,
0.615833342,54.55046463
,
0.617500007,52.08972549
,
0.619166672,56.32404327
,
0.620833337,53.41880417
,
0.622500062,53.61289597
,
0.624166668,59.08712006
,
0.625833333,54.34527206
,
0.627499998,51.78025818
,
0.629166663,53.32391357
,
0.630833387,54.34891129
,
0.632499993,46.8146553
,
0.634166658,59.03985596
,
0.635833383,55.76600266
,
0.637499988,50.26185226
,
0.639166713,47.54497528
,
0.640833318,54.1967392
,
0.642499983,58.36207581
,
0.644166708,51.25120926
,
0.645833314,56.84295273
,
0.647500038,54.22875214
,
0.649166703,52.85936356
,
0.650833309,48.307724
,
0.652500033,48.46125412
,
0.654166639,47.80348587
,
0.655833364,52.1401329
,
0.657500029,52.29499435
,
0.659166634,55.44467163
,
0.660833359,52.72830582
,
0.662500024,55.88863754
,
0.664166689,47.53992844
,
0.665833354,51.71899414
,
0.66749996,53.4641571
,
0.669166684,53.63356781
,
0.670833349,53.41398239
,
0.672500014,50.83565521
,
0.674166679,55.27878189
,
0.675833345,54.56764221
,
0.67750001,51.24713516
,
0.679166675,53.11638641
,
0.680833399,50.42384338
,
0.682500005,54.0259552
,
0.68416667,52.62802887
,
0.685833335,49.84527588
,
0.6875,49.00088501
,
0.689166725,49.07354355
,
0.69083333,63.25260544
,
0.692499995,49.61229706
,
0.69416672,56.50352859
,
0.695833325,61.27311325
,
0.69750005,48.43744659
,
0.699166656,54.86539078
,
0.700833321,53.30101013
,
0.702500045,59.50715637
,
0.704166651,56.75027847
,
0.705833376,48.79540634
,
0.707500041,60.41610336
,
0.709166646,56.87963104
,
0.710833371,52.19724274
,
0.712499976,56.22720337
,
0.714166701,56.08374786
,
0.715833366,51.70011139
,
0.717499971,56.4184494
,
0.719166696,51.6582489
,
0.720833361,51.0976181
,
0.722500026,49.40970612
,
0.724166691,56.74276352
,
0.725833297,57.47510529
,
0.727500022,52.072155
,
0.729166687,55.44453812
,
0.730833352,50.81428909
,
0.732500017,53.39369583
,
0.734166682,50.50301743
,
0.735833347,56.020298
,
0.737500012,53.1596489
,
0.739166677,51.70490265
,
0.740833342,56.23742676
,
0.742500007,54.04190826
,
0.744166672,54.17982483
,
0.745833337,52.21155167
,
0.747500062,48.6132431
,
0.749166668,52.04013443
,
0.750833333,50.40858078
,
0.752499998,53.92072296
,
0.754166663,50.88663483
,
0.755833387,50.92250824
,
0.757499993,60.77366638
,
0.759166658,53.42396164
,
0.760833383,49.69684601
,
0.762499988,56.81438446
,
0.764166713,53.43124008
,
0.765833318,54.66108704
,
0.767499983,53.6944313
,
0.769166708,58.05154037
,
0.770833314,53.99509811
,
0.772500038,45.32806015
,
0.774166703,52.63866806
,
0.775833309,56.58664703
,
0.777500033,62.46580887
,
0.779166639,49.6673317
,
0.780833364,55.035923
,
0.782500029,55.41075897
,
0.784166634,51.79296494
,
0.785833359,53.96438217
,
0.787500024,49.86225128
,
0.789166689,53.39886856
,
0.790833354,54.02833939
,
0.79249996,55.49496078
,
0.794166684,54.93175507
,
0.795833349,55.88167191
,
0.797500014,56.75572968
,
0.799166679,52.54191971
,
0.800833345,51.87458801
,
0.80250001,56.97426224
,
0.804166675,51.69274139
,
0.805833399,50.68526077
,
0.807500005,59.6293602
,
0.80916667,49.59646225
,
0.810833335,53.09734344
,
0.8125,52.42401886
,
0.814166725,52.04386902
,
0.81583333,54.85430527
,
0.817499995,55.32432938
,
0.81916672,51.85135651
,
0.820833325,56.72430801
,
0.82250005,47.41334534
,
0.824166656,52.59983826
,
0.825833321,49.14720535
,
0.827500045,53.42916489
,
0.829166651,55.62402344
,
0.830833376,56.11263275
,
0.832500041,56.55792236
,
0.834166646,53.83998489
,
0.835833371,49.42612839
,
0.837499976,50.22751999
,
0.839166701,49.80167389
,
0.840833366,57.20800781
,
0.842499971,51.88549423
,
0.844166696,54.68487549
,
0.845833361,51.5739212
,
0.847500026,51.47552109
,
0.849166691,51.81416702
,
0.850833297,62.8199501
,
0.852500022,53.09704208
,
0.854166687,54.51898956
,
